Date,Chapter,VideoTime,SenderId,DanMuContent
2020-01-01,1,2882.85200,40fca071,哈哈哈 这个大叔太有爱了，老是瞪我 要不是我看的热闹 我非带多发几条弹幕
2020-01-01,1,3179.93400,6422b9bd,开炮！！！
2020-01-01,1,2444.35900,bd184a68,你指尖跃动的电光，是我此生不变的信仰
2020-01-01,1,2415.36900,2cba8edf,啊啊啊啊啊来了来了
2020-01-01,1,3905.74000,d3e941f4,我觉得我们应该尊重一下魔术师
2020-01-01,1,3527.40100,3ce6a388,没有
2020-01-01,1,2347.54100,3ed5b994,吸
2020-01-01,1,2815.03900,df07cd03,萨克斯我死了啊啊啊啊啊啊啊啊
2020-01-01,1,83.32000,88b37177,为了艾泽拉斯！
2020-01-01,1,3555.54500,4dcff9fe,艾欧尼亚，昂扬不灭
2020-01-01,1,3223.09800,baebfca7,致敬！！！！！！
2020-01-01,1,3553.29900,47448b08,太美了
2020-01-01,1,3188.48600,c1abf94a,敬礼
2020-01-01,1,3129.51400,2a45ca5e,来了来了
2020-01-01,1,2617.93200,a5a19811,6
2020-01-01,1,1270.50400,b1b5aa12,歪嘴有真理实锤正人君子
2020-01-01,1,1441.89700,603da9ba,好听呀
2020-01-01,1,3834.64700,265995a9,破案了
2020-01-01,1,350.71900,aa870ce0,牛
2020-01-01,1,4075.43300,2edc1ef,被后面的人看了个全
2020-01-01,1,3132.73700,4e681fc8,来个辛福红
2020-01-01,1,2784.80600,24b694e9,今年最好的跨年晚会
2020-01-01,1,2813.41700,b9b03373,我又哭了！烦人！
2020-01-01,1,3638.09300,6e0a5a3f,恕瑞玛大军呢
2020-01-01,1,3545.97800,13679019,艾欧尼亚
2020-01-01,1,3930.94300,59ef7791,没看懂
2020-01-01,1,2806.12100,3329f21,啊啊啊啊啊啊啊啊啊
2020-01-01,1,2592.38100,38d446cc,啊啊啊啊啊啊啊啊啊啊啊啊啊我命都给你！！！！！bilibili！干杯！
2020-01-01,1,586.79700,57eddad0,优秀！！！！！！！
2020-01-01,1,404.30400,8ba741a4,为了诺森德
2020-01-01,1,3217.76100,6e47a7a7,此生无悔入华夏
2020-01-01,1,2433.21900,bd184a68,你指尖跃动的电光，是我此生不变的信仰
2020-01-01,1,1958.31300,7c8f3827,这首歌难度挺大的
2020-01-01,1,3838.36800,54b4242c,哈哈哈哈哈
2020-01-01,1,3612.90100,156278eb,为了弗雷尔卓德！！！
2020-01-01,1,3679.97100,f9f29db0,FPX牛逼！
2020-01-01,1,2801.62300,bed5b300,我的妈呀柯南！
2020-01-01,1,3893.46000,a42f1661,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈0.5的耶笑的我头掉
2020-01-01,1,174.13300,c71fc9e8,大树不倒，战斗不止！
2020-01-01,1,2433.04500,1085a05b,终于到正曲了
2020-01-01,1,2801.42800,3329f21,啊啊啊啊啊啊啊啊啊啊啊啊
2020-01-01,1,3233.45800,46ca6e4b,这就是jiuki
2020-01-01,1,1757.54500,cbfdb346,有的弹幕戾气好重，新的一年了开心点
2020-01-01,1,2808.12200,8efb26de,啊啊啊啊啊啊啊啊我大柯南
2020-01-01,1,3130.23900,9de0621,666666
2020-01-01,1,2814.63500,8a53b9ab,真相只有一个
2020-01-01,1,3547.55000,faaf8c90,来了来了
2020-01-01,1,1422.25100,603da9ba,不好听
2020-01-01,1,3573.16700,96f80fce,破站牛B！！！！！！！！破音
2020-01-01,1,3478.15300,ddf183fb,红？
2020-01-01,1,1416.68500,1cd6df9b,1.5倍笑哭
2020-01-01,1,2373.09700,f2066e40,吸
2020-01-01,1,4049.13800,5500f6e,厉害厉害
2020-01-01,1,3124.60500,7d5864f0,我来啦
2020-01-01,1,3577.35900,94135efc,恕瑞玛，你们的皇帝来了
2020-01-01,1,3240.85500,633ebdb9,亮剑
2020-01-01,1,2150.34200,58207b14,唱这个比刚才那个好多了
2020-01-01,1,833.70700,d07d1396,我昨晚为什么没看啊
2020-01-01,1,3229.27800,407e8ec,中国NB
2020-01-01,1,2434.27300,bd184a68,你指尖跃动的电光，是我此生不变的信仰
2020-01-01,1,3121.23700,2bab2f77,来了来了
2020-01-01,1,2625.10800,18715aa0,啊啊啊啊啊啊啊啊啊啊
2020-01-01,1,3267.31900,2a88ef54,报个到
2020-01-01,1,989.57600,e349aa11,70后祝愿b站越来越牛逼！
2020-01-01,1,2805.30600,52bdb340,千言万语我只服卧槽
2020-01-01,1,2807.80600,1780f251,真相只有一个
2020-01-01,1,2357.77900,1f8cc975,吸
2020-01-01,1,3494.01700,86c5567d,哈哈哈哈哈哈你也是哟
2020-01-01,1,2812.46300,b72b50fe,我他么 神了
2020-01-01,1,2420.98200,9e1bc222,啊炮姐！！！
2020-01-01,1,3473.35300,ddf183fb,红？
2020-01-01,1,1385.98700,4915c070,！！！
2020-01-01,1,2809.64100,9a050617,啊啊啊啊啊啊啊
2020-01-01,1,2432.37400,bd184a68,你指尖跃动的电光，是我此生不变的信仰
2020-01-01,1,3078.43800,d2291bbf,UP煮！
2020-01-01,1,3413.44400,e5a1de28,敌羞，吾去脱他衣
2020-01-01,1,746.41000,c08071cb,666
2020-01-01,1,3792.78500,2c606c35,捧哏姐姐哈哈哈
2020-01-01,1,2418.97500,d35c1885,高能高能!!!!!
2020-01-01,1,199.70000,8bb82624,为了部落！！！！！
2020-01-01,1,352.56400,74a04f3e,这种晚会，没有一个明星我也喜欢看
2020-01-01,1,2849.52100,c8e3340e,必死曲
2020-01-01,1,3129.74900,ef9d0d9,中国红
2020-01-01,1,1687.31800,dfd47f93,袖手庞宽
2020-01-01,1,1044.28900,a89d6763,啊啊啊啊啊啊啊啊啊啊啊
2020-01-01,1,2655.37300,1be099b5,强无敌
2020-01-01,1,3492.15700,86c5567d,哈哈哈哈哈哈哈niji
2020-01-01,1,3547.39000,d58ae24f,诺克萨斯，必将崛起！
2020-01-01,1,3121.40500,4938fecf,赶上了赶上了
2020-01-01,1,3570.19600,1004318d,德玛西亚
2020-01-01,1,3959.55500,ff23c38,？！
2020-01-01,1,2603.15500,cac75758,！！！！woc，我惊了！
2020-01-01,1,2429.83300,bd184a68,你指尖跃动的电光，是我此生不变的信仰
2020-01-01,1,27.46000,f59a2066,b站最佳
2020-01-01,1,197.39600,8bb82624,啊啊啊啊啊
2020-01-01,1,250.91800,ecb6f972,人手两把血吼
2020-01-01,1,1133.39400,34c32832,我爱啊啊啊啊啊啊
2020-01-01,1,3209.32000,8c086778,中国万岁
2020-01-01,1,3512.50900,148346e9,朱广权老师，你自己在鬼畜区也是有视频的Hia~Hia~
2020-01-01,1,90.60700,9dc7c920,我艾泽拉斯打头阵？？？？？为了部落！
2020-01-01,1,3184.39700,6e47a7a7,敬礼
